Age,Gender,Height,Weight,BMI,Activity_Level
21,Male,163,55,Normal weight: BMI 18.5 - 24.9;Overweight: BMI 25 - 29.9,Lightly active (light exercise/sports 1-3 days per week)
21,Male,163,68,Overweight: BMI 25 - 29.9,Lightly active (light exercise/sports 1-3 days per week)
23,Male,176.78,94,Obese: BMI >= 30),Lightly active (light exercise/sports 1-3 days per week)
21,Male,165,65,Normal weight: BMI 18.5 - 24.9,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,178,80,Overweight: BMI 25 - 29.9,Very Active  (hard exercise/sports 6-7 days per week)
25,Female,158,66,Overweight: BMI 25 - 29.9,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,177,81,Overweight: BMI 25 - 29.9,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,167,81,Overweight: BMI 25 - 29.9,Lightly active (light exercise/sports 1-3 days per week)
23,Female,162,54,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
21,Male,167,78,Overweight: (25 - 29.9),Sedentary  (little or no exercise)
22,Female,155,53,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
22,Male,1.68,88,Obese ( >= 30),Lightly active (light exercise/sports 1-3 days per week)
21,Female,162,64,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
21,Female,160,50,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
30,Male,167,70,Overweight: (25 - 29.9),Sedentary  (little or no exercise)
22,Male,160,60,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
23,Female,157,58,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Female,155,48,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
25,Male,167,54,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Male,168,56,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,168,95,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
21,Male,180,76,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Female,165,65,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
22,Male,168,59,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
20,Female,152.4,40,Underweight ( < 18.5),Sedentary  (little or no exercise)
34,Male,153,75,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
23,Male,168,56.4,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
23,Male,162,70,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,165,54,Underweight ( < 18.5),Sedentary  (little or no exercise)
21,Female,150,45,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
20,Male,164,59,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
20,Male,164,50,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
21,Female,156,68,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
22,Male,1.78,85,Normal weight (18.5 - 24.9),Very Active  (hard exercise/sports 6-7 days per week)
23,Male,172,140,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Female,154,65,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
17,Female,158,47,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
28,Male,170,70,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
18,Female,153,45,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
20,Male,167,80,Obese ( >= 30),Sedentary  (little or no exercise)
25,Male,180,54,Underweight ( < 18.5),Sedentary  (little or no exercise)
27,Female,167,70,Overweight: (25 - 29.9),Sedentary  (little or no exercise)
24,Female,154,54,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
37,Female,152,61,Normal weight (18.5 - 24.9),Very Active  (hard exercise/sports 6-7 days per week)
18,Female,160,47,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
16,Female,167,52,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
19,Female,150,45,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
20,Female,154,59,Normal weight (18.5 - 24.9),Very Active  (hard exercise/sports 6-7 days per week)
21,Female,162,56,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
30,Female,157,75,Obese ( >= 30),Sedentary  (little or no exercise)
22,Male,173,72,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
23,Male,163,76,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
24,Male,175,90,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
23,Male,172,81,Overweight: (25 - 29.9),Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,162,59,Underweight ( < 18.5),Moderately Active (moderate exercise/sports 3-5 days per week)
24,Male,176,62,Normal weight (18.5 - 24.9),Very Active  (hard exercise/sports 6-7 days per week)
23,Male,176,75,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Male,173,98,Overweight: (25 - 29.9),Sedentary  (little or no exercise)
23,Male,163,65,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,156,56,Normal weight (18.5 - 24.9),Very Active  (hard exercise/sports 6-7 days per week)
21,Male,160,55,Normal weight (18.5 - 24.9),Very Active  (hard exercise/sports 6-7 days per week)
21,Male,169,62,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,162,59,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
20,Male,153,57,Normal weight (18.5 - 24.9),Very Active  (hard exercise/sports 6-7 days per week)
23,Male,165,76,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
20,Male,162,61,Normal weight (18.5 - 24.9),Extremely active (very hard exercise/sports or physical job)
26,Female,160,50,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,167,73,Overweight: (25 - 29.9),Very Active  (hard exercise/sports 6-7 days per week)
20,Female,152,63,Overweight: (25 - 29.9),Sedentary  (little or no exercise)
23,Male,165,58,Normal weight (18.5 - 24.9),Very Active  (hard exercise/sports 6-7 days per week)
19,Female,152,70,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
23,Female,162,71,Overweight: (25 - 29.9),Sedentary  (little or no exercise)
33,Female,154,61,Overweight: (25 - 29.9),Sedentary  (little or no exercise)
20,Female,172,63,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
23,Female,167,54,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
26,Female,177,63,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
24,Female,167,75,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
34,Female,157,52,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
17,Female,164,56,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
20,Female,170,63,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
23,Female,170,52,Underweight ( < 18.5),Sedentary  (little or no exercise)
21,Female,180,61,Normal weight (18.5 - 24.9),Very Active  (hard exercise/sports 6-7 days per week)
22,Male,167,56,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Male,171,75,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
21,Male,165,58,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
23,Male,171,70,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,178,80,Overweight: (25 - 29.9),Moderately Active (moderate exercise/sports 3-5 days per week)
25,Male,165,70,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
24,Male,163,65,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
20,Male,157.4,47.7,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
21,Male,175.2,61,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,163,48,Underweight ( < 18.5),Sedentary  (little or no exercise)
23,Female,155,46,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Male,160,55,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Male,170,81,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
21,Female,155,56,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
21,Female,156,48,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
24,Female,160,57,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
23,Male,172,66,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,175,76,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
21,Female,152,59,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
25,Male,180,79,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
24,Female,157,44,Underweight ( < 18.5),Sedentary  (little or no exercise)
23,Male,165,52,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
21,Male,175,52,Underweight ( < 18.5),Sedentary  (little or no exercise)
25,Male,165,52,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
20,Female,154,50,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
21,Female,160,51,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
23,Female,155,59,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
21,Male,175,53,Underweight ( < 18.5),Lightly active (light exercise/sports 1-3 days per week)
26,Male,172,60,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
25,Male,170,68,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
25,Male,170,70,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
24,Male,170,76,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
24,Male,167,68,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
24,Male,170,81,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
23,Male,172,86,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
23,Male,178,95,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
23,Male,167,66,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
23,Female,154,44,Underweight ( < 18.5),Lightly active (light exercise/sports 1-3 days per week)
24,Male,173,80,Overweight: (25 - 29.9),Moderately Active (moderate exercise/sports 3-5 days per week)
21,Female,152,41,Underweight ( < 18.5),Sedentary  (little or no exercise)
21,Male,160,49,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
22,Female,157,58,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
21,Male,170,65,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
21,Female,154,53,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
19,Female,152,50,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)